Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,Ca,Ca 2-Sigma,K,K 2-Sigma,Al,Al 2-Sigma,Ba,Ba 2-Sigma,Cl,Cl 2-Sigma,Mg,Mg 2-Sigma,P,P 2-Sigma,S,S 2-Sigma,Si,Si 2-Sigma,Satellites,Altitude,Latitude,Longitude,Grid,Easting,Northing,
29,Mining,3.51,0.00,,,,"Tue Feb 11, 2025 - 01:38:00",User,1,ppm,,,,,20250131-1,Mining,<LOD,38.6814,<LOD,15.4847,<LOD,23.1649,958275.7500 , 1790.5765,<LOD,4.4642,<LOD,42.2137,<LOD,354.4525,<LOD,279.8608,<LOD,27.4633,37296.9609 , 730.7694,<LOD,0.0000,<LOD,19.6328,694.1619 , 187.9998,<LOD,12.5810,66.6912 , 6.5814,<LOD,45.2824,41.4714 , 9.4876,<LOD,40.1415,156.5213 , 11.8646,<LOD,0.0000,<LOD,68.7039,<LOD,5.8241,<LOD,45.9873,22.0269 , 2.9459,<LOD,0.0000,27.2060 , 6.6663,2152.3855 , 911.2031,<LOD,22.6736,<LOD,579.2272,<LOD,41.6725,95.1002 , 7.8919,160.0474 , 26.0838,1011.6678 , 20.6730,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Mining,103.93,9.29,29.40,28.94,29.28,"Tue Feb 11, 2025 - 01:40:14",User,1,ppm,,,,,20250131-1,Mining,<LOD,1.0479,<LOD,2.8057,<LOD,5.0879,566280.1875 , 2653.6238,<LOD,2.1735,<LOD,1.5491,<LOD,77.8706,85.2455 , 3.1805,12.7435 , 4.3777,37243.6875 , 155.9743,<LOD,0.0000,<LOD,3.2929,501.8261 , 36.2364,<LOD,2.3983,68.6878 , 1.3829,<LOD,16.9913,42.7712 , 2.0597,<LOD,0.8573,162.8034 , 2.4227,<LOD,0.0000,<LOD,2.9388,<LOD,1.2783,21.8917 , 1.7426,12.5131 , 0.5137,<LOD,0.0000,17.7874 , 1.5223,1749.2554 , 16.8785,<LOD,3.9122,38.6997 , 4.3673,<LOD,10.3264,116.2507 , 1.7442,183.3902 , 6.1618,1035.3630 , 4.3062,9063.9609 , 61.2080,37730.0547 , 115.9048,52394.8555 , 469.8168,138.6098 , 13.7488,<LOD,30.0472,<LOD,1599.6189,<LOD,95.0591,<LOD,28.3145,293099.4062 , 351.1350,,,,,,,,
31,Mining,115.21,29.73,9.34,29.37,29.40,"Tue Feb 11, 2025 - 01:43:03",User,1,ppm,,,,,20250131-1,Mining,<LOD,0.9078,5.5567 , 1.0503,<LOD,2.4527,635134.9375 , 1872.0369,<LOD,1.3205,<LOD,1.3686,<LOD,45.7213,53.4117 , 2.6127,8.8541 , 2.7055,29542.8047 , 95.4872,<LOD,0.0000,<LOD,2.0431,378.6330 , 21.8938,<LOD,1.3794,52.1422 , 0.8109,<LOD,9.8546,20.3908 , 1.0388,<LOD,0.7337,125.7331 , 1.4387,<LOD,0.0000,<LOD,2.5655,<LOD,0.7438,14.7006 , 1.5110,13.7125 , 0.3385,<LOD,0.0000,13.2909 , 0.8966,1276.6359 , 14.2051,<LOD,1.7400,26.6879 , 3.6967,<LOD,6.3797,73.9910 , 0.9651,165.6989 , 3.6386,711.5737 , 2.4258,3390.8684 , 37.7302,17514.6797 , 81.4008,50009.6133 , 393.7625,176.7093 , 63.0993,<LOD,27.1989,7620.1680 , 973.4167,199.2030 , 54.1034,<LOD,23.0216,253470.0000 , 305.5306,,,,,,,,
32,Mining,113.33,15.13,29.31,29.44,29.90,"Tue Feb 11, 2025 - 01:51:46",User,1,ppm,,,,,20250131-1,Mining,<LOD,0.8437,4.5415 , 1.2142,<LOD,2.4732,578772.4375 , 2207.3162,<LOD,1.3809,<LOD,1.2905,<LOD,45.2898,81.2138 , 2.9111,7.2444 , 2.7404,25900.8340 , 98.0188,<LOD,0.0000,<LOD,3.2437,1029.7823 , 31.7886,<LOD,1.6032,74.7498 , 0.9610,14.3906 , 4.6576,32.2380 , 1.2476,<LOD,0.7169,179.5166 , 1.7833,<LOD,0.0000,<LOD,2.3965,<LOD,0.8339,20.9146 , 1.4305,13.5906 , 0.3580,<LOD,0.0000,17.4781 , 1.0166,1728.5074 , 17.2367,2.8423 , 1.1880,32.3824 , 4.3194,<LOD,6.5379,90.5693 , 1.1283,126.0245 , 3.3788,962.6656 , 3.0064,3294.0820 , 43.1533,36891.3281 , 113.6371,91491.4766 , 496.9295,207.7224 , 74.1712,<LOD,23.5512,13101.4883 , 968.8412,676.8314 , 65.0123,478.7834 , 17.2428,244766.3281 , 294.7370,,,,,,,,
33,Mining,105.10,9.93,29.19,29.42,29.68,"Tue Feb 11, 2025 - 01:59:03",User,1,ppm,,,,,20250131-1,Mining,<LOD,0.9941,<LOD,2.2246,<LOD,3.4436,554856.3750 , 2599.0820,<LOD,1.8331,<LOD,1.4982,<LOD,61.7899,75.3446 , 2.8668,9.4797 , 3.9568,26097.8398 , 131.5518,<LOD,0.0000,<LOD,4.8103,1039.5939 , 43.7992,<LOD,2.3175,81.3758 , 1.3495,17.1594 , 6.2826,23.7457 , 1.6096,<LOD,0.8233,195.4196 , 2.4623,<LOD,0.0000,<LOD,2.7959,<LOD,0.9974,18.5103 , 1.6538,6.7546 , 0.4193,<LOD,0.0000,18.2870 , 1.3800,2244.6743 , 16.3949,3.7116 , 1.6876,33.3989 , 4.2356,<LOD,8.8575,97.4034 , 1.5715,114.6045 , 4.7189,1175.9841 , 4.2858,1911.1355 , 40.5214,53243.3086 , 124.5042,75021.9453 , 485.9185,128.6257 , 13.0643,<LOD,27.5132,<LOD,1388.6539,678.3728 , 82.8730,<LOD,25.6353,282906.9375 , 321.4971,,,,,,,,
34,Mining,110.56,29.46,9.89,29.99,29.99,"Tue Feb 11, 2025 - 02:02:08",User,1,ppm,,,,,20250131-1,Mining,<LOD,3.4482,<LOD,0.0395,<LOD,0.0758,723.6481,,<LOD,0.0341,<LOD,5.2773,<LOD,2.2281,248.8093 , 10.5587,<LOD,0.4024,170.1195 , 8.3336,<LOD,0.0000,<LOD,0.1281,1326.7656 , 26.4789,<LOD,0.0018,<LOD,0.0017,<LOD,0.5299,<LOD,0.0440,<LOD,3.0032,<LOD,0.0155,<LOD,0.0000,<LOD,10.0561,<LOD,0.0259,107.1549 , 6.0509,<LOD,0.0013,<LOD,0.0000,<LOD,0.0166,5350.0454 , 78.8908,<LOD,0.0203,78.3531 , 14.3982,<LOD,0.4014,<LOD,0.0073,<LOD,0.1732,<LOD,0.0018,6383.3735 , 151.8044,120856.3047 , 1019.6602,275182.9375 , 993.1943,1123.4150 , 50.1403,<LOD,84.7001,18610.7695 , 3019.4812,<LOD,410.0420,465.4285 , 58.7263,569372.8750 , 2085.4841,,,,,,,,
35,Mining,104.32,9.38,29.15,29.73,29.28,"Tue Feb 11, 2025 - 02:05:31",User,1,ppm,,,,,20250131-1,Mining,<LOD,0.8885,<LOD,2.0420,<LOD,3.3140,523370.2500 , 2657.9316,<LOD,1.8679,<LOD,1.3545,<LOD,58.0909,64.3176 , 2.6071,<LOD,9.5334,22165.6016 , 124.0518,<LOD,0.0000,<LOD,2.8426,432.0571 , 32.4830,<LOD,2.2247,74.1771 , 1.2803,<LOD,8.8755,18.4930 , 1.5039,<LOD,0.7205,172.9675 , 2.2925,<LOD,0.0000,<LOD,2.4938,<LOD,1.1015,18.3194 , 1.4732,4.5578 , 0.3822,<LOD,0.0000,20.1376 , 1.3895,1681.8137 , 13.9461,<LOD,2.2146,42.6671 , 3.7001,<LOD,8.7429,90.0095 , 1.4951,130.0628 , 4.9322,1075.3125 , 4.0838,575.4811 , 32.9169,49590.7930 , 115.9304,82892.0156 , 482.5621,115.8055 , 11.5761,<LOD,26.8934,<LOD,1350.6263,<LOD,91.6403,<LOD,24.2034,317465.1562 , 326.1551,,,,,,,,
36,Mining,102.01,0.00,9.46,29.65,29.70,"Tue Feb 11, 2025 - 02:12:24",User,1,ppm,,,,,20250131-1,Mining,<LOD,0.8580,5.4102 , 1.8543,<LOD,4.3022,908519.7500 , 1036.8572,<LOD,2.2191,<LOD,1.3145,<LOD,67.6575,98.8376 , 3.2661,10.3125 , 4.4121,25700.4121 , 142.3648,<LOD,0.0000,<LOD,3.3258,598.8921 , 39.7786,<LOD,2.5792,87.7995 , 1.5212,<LOD,13.8092,29.4618 , 1.8782,<LOD,0.7096,210.0005 , 2.7575,<LOD,0.0000,<LOD,2.4558,<LOD,1.2461,19.8996 , 1.4534,9.9577 , 0.5004,<LOD,0.0000,19.9513 , 1.5990,1536.1680 , 16.5136,4.1919 , 1.8851,56.9276 , 4.2772,<LOD,10.8408,110.5890 , 1.7893,157.5792 , 5.8680,1223.0753 , 4.7095,1445.9166 , 35.5936,35678.0000 , 107.1518,455.4306 , 97.6343,115.9353 , 11.4174,<LOD,28.8928,<LOD,1278.5490,300.9775 , 49.5092,39.7305 , 15.4843,23564.7969 , 124.3030,,,,,,,,
37,Mining,5.49,0.00,,,,"Tue Feb 11, 2025 - 02:13:15",User,1,ppm,,,,,20250131-1,Mining,<LOD,11.1308,<LOD,1.7912,<LOD,3.6297,999934.1875 , 266.5622,<LOD,2.7051,<LOD,12.2921,<LOD,17.3354,<LOD,77.5080,<LOD,13.5995,<LOD,65.8431,<LOD,0.0000,<LOD,4.3124,<LOD,52.0310,4.2764 , 1.5046,6.0656 , 1.2797,<LOD,11.8403,<LOD,1.9806,<LOD,11.8529,<LOD,1.3973,<LOD,0.0000,<LOD,19.0103,<LOD,1.4836,<LOD,12.8315,14.4226 , 0.8337,<LOD,0.0000,<LOD,2.2492,<LOD,323.8205,<LOD,3.0747,<LOD,200.1931,<LOD,13.7416,4.5581 , 0.9585,31.6149 , 5.3177,4.8935 , 1.1504,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Mining,134.25,18.25,47.11,29.12,28.76,"Tue Feb 11, 2025 - 02:16:55",User,1,ppm,,,,,20250131-1,Mining,215.6922 , 126.8431,320.7016 , 5.0143,50.3637 , 6.3660,653938.1250 , 1919.7206,<LOD,2.5033,501.5910 , 123.2830,<LOD,37.6881,433.4939 , 3.0923,6.4600 , 2.6500,15142.8125 , 74.9106,<LOD,0.0000,<LOD,2.4112,130.1227 , 18.6060,<LOD,1.0620,9.0435 , 0.5380,<LOD,7.6672,531.2734 , 4.1604,6.3845 , 0.6126,59.8297 , 1.0658,<LOD,0.0000,<LOD,2.7036,375.5555 , 3.4120,<LOD,2.5118,69.8306 , 0.6236,<LOD,0.0000,4.8814 , 1.2923,2769.1108 , 13.7613,<LOD,2.3943,94.0460 , 3.6570,<LOD,6.0384,19.8879 , 0.7297,41.1275 , 2.2229,254.6826 , 1.5072,5634.8979 , 31.1429,11362.1162 , 47.0367,58966.1914 , 401.2198,1072.9266 , 12.8955,<LOD,22.0890,8157.7285 , 868.7458,<LOD,62.1258,53.8098 , 14.8643,239777.2969 , 291.4532,,,,,,,,
39,Mining,98.32,0.00,9.54,29.79,29.66,"Tue Feb 11, 2025 - 02:20:01",User,1,ppm,,,,,20250131-1,Mining,<LOD,0.7208,<LOD,0.7628,<LOD,2.2476,784440.7500 , 1068.8068,<LOD,1.0391,3.2512 , 0.5292,<LOD,6.3987,<LOD,1.3702,<LOD,3.1091,<LOD,10.7274,<LOD,0.0000,<LOD,1.6637,<LOD,18.2579,<LOD,0.8430,<LOD,0.6569,<LOD,4.3556,<LOD,0.8364,<LOD,0.4285,<LOD,0.4868,<LOD,0.0000,<LOD,1.3806,<LOD,0.6036,<LOD,1.1623,<LOD,0.2469,<LOD,0.0000,<LOD,0.7470,10.5887 , 1.9670,<LOD,1.0904,<LOD,0.8556,<LOD,4.6142,<LOD,0.4431,3.4963 , 1.5448,<LOD,0.5383,<LOD,2.4986,<LOD,6.3375,<LOD,94.1605,<LOD,9.0443,<LOD,12.8357,<LOD,585.8593,<LOD,35.9233,<LOD,13.0498,215541.9219 , 221.3036,,,,,,,,
40,Mining,123.58,29.06,28.56,9.39,29.29,"Tue Feb 11, 2025 - 02:25:19",User,1,ppm,,,,,20250131-1,Mining,<LOD,0.8584,2.7479 , 1.0113,<LOD,2.3124,541034.1875 , 2311.4150,<LOD,1.2705,<LOD,1.3299,<LOD,42.7520,94.3989 , 2.4419,7.2693 , 2.5770,15997.9912 , 76.4753,<LOD,0.0000,4.0432 , 1.4098,202.5903 , 18.8688,<LOD,1.5547,69.2875 , 0.8767,<LOD,6.6157,21.6592 , 1.0575,<LOD,0.7092,160.6733 , 1.5993,<LOD,0.0000,<LOD,2.4601,<LOD,0.7680,21.5719 , 1.4680,23.6113 , 0.4035,<LOD,0.0000,17.9876 , 0.9433,1789.1160 , 13.6729,4.1865 , 1.1535,63.8791 , 3.5612,<LOD,5.7554,74.2760 , 0.9907,73.3268 , 2.5944,1023.8577 , 2.9323,13383.7744 , 54.9061,39840.4180 , 93.9695,78890.4844 , 497.5192,244.4940 , 87.2980,<LOD,25.3617,14441.9277 , 1065.7356,<LOD,85.1459,428.9779 , 18.7684,292083.3125 , 317.3413,,,,,,,,
41,Mining,115.30,29.43,9.33,29.34,29.68,"Tue Feb 11, 2025 - 02:34:07",User,1,ppm,,,,,20250131-1,Mining,<LOD,0.8145,<LOD,2.3998,<LOD,2.4576,631055.8125 , 1818.3619,<LOD,1.2768,<LOD,1.2605,<LOD,44.1880,66.7895 , 2.7180,8.2270 , 2.6891,26814.8184 , 95.3334,<LOD,0.0000,<LOD,3.5799,804.6246 , 28.0957,<LOD,1.6462,77.5288 , 0.9447,12.0968 , 4.4362,30.3208 , 1.1996,<LOD,0.6717,210.4234 , 1.8596,<LOD,0.0000,<LOD,2.3302,<LOD,0.7906,12.9370 , 1.3592,20.1002 , 0.3946,<LOD,0.0000,20.7564 , 1.0151,1549.6058 , 15.6439,3.7903 , 1.2143,21.8337 , 3.9722,<LOD,6.4687,89.0105 , 1.1134,172.8743 , 3.7330,1095.1282 , 3.0785,4054.9216 , 45.0425,32905.2930 , 109.1728,57734.0234 , 387.6671,128.8459 , 46.0105,1280.9945 , 22.2850,10043.6826 , 913.1876,<LOD,72.2184,192.2206 , 14.9334,231593.3750 , 280.7319,,,,,,,,
42,Mining,133.24,37.97,38.54,28.92,0.00,"Tue Feb 11, 2025 - 02:38:20",User,1,ppm,,,,,20250131-1,Mining,<LOD,0.7987,<LOD,1.4513,<LOD,2.1573,552953.3125 , 2052.6279,<LOD,1.1686,<LOD,1.2462,<LOD,34.7827,120.2622 , 2.2100,13.3987 , 2.4500,16481.2578 , 71.4841,<LOD,0.0000,<LOD,2.2708,248.5758 , 18.1763,<LOD,1.3473,63.9685 , 0.7989,<LOD,7.5934,12.2237 , 0.8372,<LOD,0.6762,91.7856 , 1.1466,<LOD,0.0000,<LOD,2.3450,<LOD,0.6759,15.5918 , 1.3781,36.4987 , 0.4339,<LOD,0.0000,16.9705 , 0.8253,1036.8606 , 11.5352,4.7683 , 1.0191,67.6650 , 2.9197,<LOD,5.5128,108.7559 , 0.9728,110.6133 , 2.7915,910.1245 , 2.5432,3870.1858 , 27.0560,12636.3242 , 49.7463,43369.2188 , 346.3705,170.4003 , 60.8469,<LOD,24.1310,19987.7422 , 1014.8088,<LOD,143.0337,106.8257 , 15.2419,347566.6875 , 312.9661,,,,,,,,
43,Mining,107.70,29.29,9.18,29.50,29.16,"Tue Feb 11, 2025 - 02:41:27",User,1,ppm,,,,,20250131-1,Mining,<LOD,0.9468,<LOD,2.1940,<LOD,3.6727,598978.3750 , 2596.2556,<LOD,1.9415,<LOD,1.4637,<LOD,66.1393,54.1831 , 2.7099,<LOD,5.6388,27212.9297 , 138.8992,<LOD,0.0000,<LOD,4.3919,190.5395 , 27.8391,<LOD,2.2547,75.3265 , 1.3259,<LOD,12.3574,20.5672 , 1.5923,<LOD,0.7900,165.0607 , 2.3502,<LOD,0.0000,<LOD,2.7200,<LOD,1.0660,21.7801 , 1.6123,30.0228 , 0.6478,<LOD,0.0000,17.1556 , 1.3992,2462.3547 , 16.8375,<LOD,3.8095,56.1348 , 4.4863,<LOD,9.2121,67.5818 , 1.4221,90.9333 , 4.4405,947.5372 , 4.0041,33183.4453 , 94.7480,26703.3809 , 91.1154,59074.9297 , 436.8148,138.5551 , 12.7153,<LOD,25.8348,12898.0479 , 1169.1431,208.7085 , 53.6454,272.4562 , 16.9449,237129.9531 , 301.8123,,,,,,,,
44,Mining,103.56,8.84,29.55,29.32,29.02,"Tue Feb 11, 2025 - 02:57:50",User,1,ppm,,,,,20250131-1,Mining,<LOD,0.9544,<LOD,3.9904,<LOD,3.7264,494954.2188 , 3441.5928,<LOD,2.0644,<LOD,1.4646,<LOD,55.7528,64.0703 , 2.7725,12.2947 , 4.2557,16960.8770 , 119.8501,<LOD,0.0000,<LOD,4.9342,885.1898 , 44.6411,<LOD,2.4185,126.5211 , 1.6383,<LOD,11.0290,19.6574 , 1.6832,<LOD,0.7912,210.6699 , 2.7224,<LOD,0.0000,<LOD,2.7427,<LOD,1.2162,21.5873 , 1.6339,20.3134 , 0.5857,<LOD,0.0000,30.0581 , 1.6639,3936.2263 , 19.1021,6.1332 , 1.8862,48.7851 , 5.0327,<LOD,9.2780,64.6491 , 1.5084,106.5726 , 4.8804,1091.4388 , 4.4171,5890.9678 , 51.9926,55998.5625 , 125.7383,108032.8594 , 638.5830,245.2528 , 13.1917,<LOD,28.2135,5239.7983 , 1101.6425,425.4547 , 78.8899,<LOD,40.8221,305607.8438 , 344.4293,,,,,,,,
45,Mining,109.17,29.01,9.23,28.77,29.50,"Tue Feb 11, 2025 - 03:02:48",User,1,ppm,,,,,20250131-1,Mining,<LOD,1.0412,<LOD,2.8373,<LOD,3.7793,485366.3125 , 3763.3728,<LOD,1.9472,<LOD,1.5642,<LOD,50.7014,106.6339 , 3.2103,19.9843 , 4.0423,17909.7461 , 107.1978,<LOD,0.0000,<LOD,3.7785,758.7352 , 37.7272,6.5138 , 1.7882,152.1617 , 1.6051,<LOD,10.9894,60.0362 , 2.0661,<LOD,0.8882,298.4864 , 2.9551,<LOD,0.0000,<LOD,2.9545,<LOD,1.2188,33.1062 , 1.7859,48.9142 , 0.7495,<LOD,0.0000,33.9248 , 1.6469,2181.6919 , 20.1847,7.6451 , 1.9081,47.0506 , 5.0170,<LOD,13.6000,68.8579 , 1.5225,98.8664 , 4.0396,1699.8660 , 5.0891,2546.3184 , 44.7131,47832.9883 , 128.6451,124049.3906 , 718.6121,610.5699 , 217.9277,<LOD,29.3756,9329.2744 , 1161.0762,522.1876 , 75.2633,723.2731 , 23.8163,305487.4688 , 356.5166,,,,,,,,
46,Mining,110.05,14.19,28.94,28.99,29.92,"Tue Feb 11, 2025 - 03:18:22",User,1,ppm,,,,,20250131-1,Mining,<LOD,0.9900,6.8241 , 1.4375,<LOD,3.3423,561239.2500 , 2721.5730,<LOD,2.1900,<LOD,1.5066,<LOD,76.3410,35.4323 , 2.8622,10.8170 , 3.6777,56843.2539 , 153.2512,<LOD,0.0000,<LOD,3.6210,358.1285 , 27.4821,<LOD,2.1066,76.5389 , 1.2488,43.6786 , 7.0175,21.5470 , 1.4272,<LOD,0.8358,142.3819 , 2.0176,<LOD,0.0000,<LOD,2.8669,<LOD,1.0587,33.0868 , 1.7176,23.9085 , 0.5432,<LOD,0.0000,13.0407 , 1.2385,1318.6610 , 15.4718,4.3278 , 1.5437,26.8024 , 4.1294,<LOD,9.9948,123.8920 , 1.5352,437.9288 , 7.3169,1057.3162 , 3.9024,3489.4438 , 43.1445,18069.3750 , 93.0865,95190.2422 , 532.6755,234.5114 , 83.7344,<LOD,24.1546,14890.2334 , 1054.8344,<LOD,60.2682,535.1539 , 17.3060,245774.2344 , 304.6105,,,,,,,,
47,Mining,102.84,9.12,0.00,28.97,28.99,"Tue Feb 11, 2025 - 03:21:01",User,1,ppm,,,,,20250131-1,Mining,<LOD,0.8903,7.1861 , 1.9577,<LOD,3.5576,546282.1875 , 2491.3298,<LOD,2.5132,<LOD,1.3414,<LOD,84.2456,64.2170 , 2.7984,<LOD,8.2485,25072.6387 , 133.7424,<LOD,0.0000,<LOD,2.9085,1893.1366 , 57.1367,<LOD,2.0848,55.8729 , 1.2510,<LOD,9.1336,43.6364 , 1.9342,<LOD,0.7122,144.9453 , 2.1998,<LOD,0.0000,<LOD,2.4913,<LOD,1.1385,10.4378 , 1.4623,24.3431 , 0.5940,<LOD,0.0000,8.4101 , 1.3170,1398.7574 , 17.0608,3.5703 , 1.6425,45.9018 , 4.1157,<LOD,9.2353,122.9452 , 1.6704,105.0042 , 4.6600,850.4924 , 3.7513,2293.5647 , 34.7895,31038.7656 , 96.1684,41788.4922 , 357.7043,209.7293 , 11.9500,<LOD,27.9627,2908.7517 , 965.0834,413.1519 , 64.2447,680.8745 , 20.7223,344533.0312 , 339.3537,,,,,,,,
48,Mining,135.38,28.97,38.47,28.91,0.00,"Tue Feb 11, 2025 - 03:31:01",User,1,ppm,,,,,20250131-1,Mining,<LOD,1.1713,2.4035 , 1.1860,<LOD,2.7992,553521.9375 , 3006.3293,<LOD,1.4137,<LOD,1.7790,<LOD,38.3366,49.8990 , 2.4079,<LOD,5.8742,18854.4844 , 80.4881,<LOD,0.0000,<LOD,3.0677,399.3524 , 23.1583,4.4474 , 0.8306,38.0493 , 0.7395,16.3830 , 4.6522,34.1262 , 1.2397,<LOD,0.9972,93.4342 , 1.3507,<LOD,0.0000,<LOD,3.3761,<LOD,0.8380,21.9158 , 1.9940,536.3873 , 1.6720,<LOD,0.0000,8.5734 , 0.8952,2895.4324 , 15.9247,<LOD,3.5330,40.5641 , 4.0495,<LOD,6.6877,36.5354 , 0.7808,51.6920 , 2.4238,371.2438 , 1.9765,17127.6953 , 59.0907,30598.2324 , 82.5814,119681.3203 , 819.0327,1927.0538 , 19.1146,<LOD,35.5919,10956.1152 , 1344.8152,1572.0214 , 90.8356,177.9362 , 23.1563,240982.7500 , 362.8496,,,,,,,,
49,Mining,122.12,28.45,9.52,29.32,29.23,"Tue Feb 11, 2025 - 03:41:21",User,1,ppm,,,,,20250131-1,Mining,<LOD,1.0028,<LOD,1.2065,<LOD,2.2481,574297.3750 , 2361.7903,<LOD,1.4380,<LOD,1.5307,<LOD,45.9355,67.9640 , 2.9901,6.9255 , 2.5280,36166.5742 , 97.8661,<LOD,0.0000,<LOD,2.4781,1197.0376 , 29.5008,<LOD,1.3044,64.0364 , 0.8099,29.0078 , 4.4729,13.8110 , 0.9075,<LOD,0.8347,97.8623 , 1.2201,<LOD,0.0000,<LOD,2.8642,<LOD,0.7213,18.8532 , 1.6908,99.9745 , 0.6937,<LOD,0.0000,13.3008 , 0.8489,3367.8540 , 20.9761,2.3391 , 1.0784,59.0836 , 5.3156,<LOD,5.9751,64.8249 , 0.8478,105.6985 , 2.8353,672.0362 , 2.2744,7870.5635 , 55.3794,44017.3867 , 117.8277,79087.1250 , 564.6345,1395.4978 , 15.7311,<LOD,26.8593,32613.3418 , 1427.0734,737.9049 , 67.5779,<LOD,23.4941,217933.6094 , 312.9531,,,,,,,,
50,Mining,160.85,28.84,9.37,38.98,29.30,"Tue Feb 11, 2025 - 04:12:24",User,1,ppm,,,,,20250131-1,Mining,<LOD,0.8053,7.5496 , 1.1356,<LOD,2.5282,545453.7500 , 2325.3696,<LOD,1.3252,<LOD,1.2162,<LOD,53.6187,91.0815 , 2.5117,13.8999 , 2.8119,42997.2969 , 112.5116,<LOD,0.0000,<LOD,2.5324,2067.8953 , 38.8232,<LOD,1.7109,107.4160 , 1.0862,22.4214 , 5.1042,23.5764 , 1.1221,<LOD,0.6800,182.4001 , 1.7292,<LOD,0.0000,<LOD,2.2611,<LOD,0.8278,21.1254 , 1.3472,9.3967 , 0.3228,<LOD,0.0000,15.3794 , 0.9564,3481.3638 , 16.2194,3.7949 , 1.1926,88.5965 , 4.2926,<LOD,8.0276,160.3728 , 1.3257,249.3551 , 4.3508,1268.2240 , 3.3904,4994.4292 , 36.4482,32396.9023 , 84.1202,111557.3281 , 578.1964,121.9219 , 10.6287,<LOD,23.3928,19012.5176 , 1108.1421,850.3410 , 63.0824,611.9327 , 18.1675,234189.7812 , 294.8913,,,,,,,,
51,Mining,104.39,0.00,9.34,29.62,29.49,"Tue Feb 11, 2025 - 04:15:26",User,1,ppm,,,,,20250131-1,Mining,<LOD,0.9176,<LOD,2.7223,<LOD,3.4478,465145.1562 , 3198.1221,<LOD,2.0312,<LOD,1.4133,<LOD,63.5510,70.9803 , 2.8841,<LOD,6.4845,26648.6934 , 132.8069,<LOD,0.0000,<LOD,2.9664,614.0867 , 36.2552,<LOD,2.1726,61.7734 , 1.2211,<LOD,14.3486,23.4428 , 1.5769,<LOD,0.7831,166.4737 , 2.2675,<LOD,0.0000,<LOD,2.6517,<LOD,1.0733,23.1562 , 1.5838,9.5438 , 0.4398,<LOD,0.0000,12.8431 , 1.3228,2265.8196 , 16.5167,<LOD,2.4744,31.7624 , 4.2830,<LOD,9.6895,95.5717 , 1.5194,165.1782 , 5.4830,992.5899 , 3.9613,2526.5530 , 41.5347,45977.8789 , 120.2243,99614.6094 , 568.4229,168.4932 , 12.5435,<LOD,27.1926,5871.0698 , 1056.7729,124.5852 , 64.4580,224.6736 , 18.6323,349165.0312 , 344.3247,,,,,,,,
52,Mining,115.49,0.00,9.65,29.37,29.08,"Tue Feb 11, 2025 - 04:24:01",User,1,ppm,,,,,20250131-1,Mining,<LOD,1.0995,<LOD,1.5348,<LOD,2.6449,499415.4688 , 2939.4680,<LOD,1.3008,<LOD,1.5968,<LOD,56.4198,45.7059 , 3.6802,<LOD,6.2800,46651.1914 , 117.0192,<LOD,0.0000,<LOD,2.1714,1229.3862 , 32.3705,<LOD,1.2690,23.0586 , 0.6855,29.2775 , 5.2843,8.2175 , 0.9225,<LOD,0.8784,62.3795 , 1.2032,<LOD,0.0000,<LOD,2.9842,<LOD,0.8212,24.3861 , 1.7726,625.6578 , 1.8709,<LOD,0.0000,3.6334 , 0.7780,5957.6069 , 31.0818,4.2652 , 1.6733,71.0645 , 8.1133,<LOD,6.4522,36.3361 , 0.7509,66.2576 , 2.6220,266.1327 , 1.8330,23597.2539 , 99.3997,28987.9414 , 118.8341,124566.0781 , 750.7656,1572.9757 , 16.6923,<LOD,31.7464,31866.8008 , 1515.7357,6617.5161 , 135.6944,<LOD,38.6694,228271.4219 , 323.5278,,,,,,,,
